,Names,Cause,State,Description,Phone,Address,Email,URL
48,Ashadeep,women,Assam,"Ashadeep mission is to initiate and strengthen interventions for persons with mental disorders and their families in the North Eastern states of India, in an attempt to achieve a life of better quality for them. Anjana and Mukul Goswami, with like minded people, formed Ashadeep in 1996 to take care of people with mental disorders as the rehabilitation facilities. There were no mental health rehabilitation facilities available in Assam and the North East during that time. People had to go to Kolkata or Bangalore, which was not affordable for all. Founder Mukul Chandra Goswami had a traumatic but positive experience of taking care of and rehabilitating his sister suffering from Schizophrenia. Mukul Goswami, a banker till 2001, along with his wife Anjana, a lecturer, formed Ashadeep in 1996. Over 360 individuals suffering from mental illness and intellectual disability have received therapy, special and conventional education, training in sports and vocational activities in Ashadeep Day Rehabilitation Centre since 1996. 650 homeless mentally ill persons have been housed and treated in rehabilitation homes, of which 550 have been successfully reintegrated with their families. 1200 individuals in Guwahati and over 2000 in rural areas of Assam have been intervened upon issues related to mental health through their Outdoor Psychiatric Clinic and Outreach Camps. Over 120 training and orientation programmes on mental health have been organized for school and college students, ASHAs, ANMs, Anganwadi workers, policemen, etc. Since 2013, a Community Mental Health Programme has been initiated in 3 different blocks of Assam helping 1500 patients with Severe Mental Disorders.Sponsor quality food for mental health patients in the rehabilitation centerSponsor therapy and medication for patients suffering from mental illness",+91 94355 59218,"Kanaklata Path, Lachitnagar,Guwahati 781007 Assam",sharma_chandana@rediffmail.com,https://www.giveindia.org/nonprofit/ashadeep
49,ASHWINI,health,Andhra Pradesh,"The primary objective of ASHWINI is to establish a health system that is accessible, acceptable, effective and sustainable. It should be owned and managed by the people themselves. The most important aspect of this health intervention is the strong emphasis on involving the adivasi community and in training adivasi youth to deliver the services.   ASHWINI believe that communities can be empowered by a participatory development process of capacity building and decentralization that culminates in community owned and managed programs and institutions. Ownership of institutions that cater to the mainstream population is a powerful tool in bringing about a change in social equations.  20,000 tribals who are members are the primary beneficiaries of the project. A majority of the tribals live below the poverty line and literacy rates are still very low. Illnesses that are directly related to poverty like malnutrition, tuberculosis, anemia and water borne diseases continue to be a major problem for these communities.Sponsor dental care of a poor tribalGudalur Adivasi Hospital,P.O. Box 20, Gudalur,Nilgiris 643212 Tamilnadu",+91 4262 261645,"Gudalur Adivasi Hospital,P.O. Box 20, Gudalur,Nilgiris 643212 Tamilnadu",jijielamana2012@gmail.com,https://www.giveindia.org/nonprofit/ashwini
50,"Sankara Eye Hospital, Pammal",health,Tamil Nadu,"Sankara Eye Hospital is an ISO 9001 certified, state of the art multi-specialty eye hospital located at Pammal, a well-developed suburb of Chennai City.This hospital has been functioning as an exclusive eye care center with a singular vision of providing high-quality care to all segments of society, rich or poor. The Hospital offers nine specialty services (Cataract, Refractive, Cornea, Glaucoma, Retina, Orbit & Oculoplasty, Uvea, Neuro-Ophthal, Pediatric Ophthal) and support services like Contact Lens, Prosthetic eye, and Low Vision Clinic.This hospital runs a charitable eye care program for the poor under the name 'Kannoli Vision Saver' project. State-of-the-art outpatient facilities exist for examination of all eye disorders and a team of highly skilled Optometry technicians and Ophthalmologists provide personalized and professionally competent care. The three-storied hospital has 140 beds, 20 independent bath-attached rooms, and a modern hygienic kitchen to cater nutritious food for the patients.The hospital has four sophisticated and fully equipped operation theaters and a team of very highly committed and talented staff apart from 12 senior eye surgeons. The hospital currently carries out an average of 60 surgeries every day and has performed over 250,000 vision-restoring surgeries till now.Help the faster recovery of cataract surgery patientsRestore eyesight by sponsoring a cataract surgerySupport the nutrition of poor cataract surgery patients",+91 44 2248 4799,"No. 1, Third Cross Street, Sri Sankara Nagar, Pammal, Chennai 600075 Tamilanadu",info@kannoli.net,https://www.giveindia.org/nonprofit/sankara-eye-hospital-pammal
51,ASSIST,environment,Andhra Pradesh,"The mission of ASSIST is to create an ideal and equitable society by promoting rural development. The organization was born in response to the social problems prevailing in the Prakasam and Guntur districts in AP. They work for the development of the poor and marginalized communities in the rural areas of Andhra Pradesh. A unique feature of ASSIST is that they do not work for the people, but with the people in order to achieve the overall objective of making a community a viable unit for its own development.They come up with innovative and adaptable strategies to keep constant communication at the community level. They have taken the responsibility of the overall development of these rural areas as it undertakes programs to create awareness, economic and child development, women empowerment, community health, housing and sanitation, water provision etc. With this support, the number of children going to school has increased and the water facilities in the villages that Assist works with have been renovated. Every year close to 514 illiterate women get educated, 529 get trained in vocational skills, 22 government schools are strengthened. ASSIST aspires to cater to the rural people in every possible way and make their lives better.Help a community get access to water Guntur 522616 Andhra Pradesh",+91 8647 253971,"G.T. Road,  Chilakaluripet,  Guntur 522616 Andhra Pradesh",vianney@assist-india.org,https://www.giveindia.org/nonprofit/assist
52,Sabuj Sangha,health,West Bengal,"Sabuj Sangha is committed to improving the lives of people who are less fortunate in West Bengal, India, through participation and empowerment. Community engagement is an essential aspect of all their health and nutrition activities. Their healthcare staff holds regular health camps throughout villages in the Sundarbans to spread information about the importance of a nutritional diet and sanitation practices. Their staff also works to link communities with service providers so that patients can access mandated Government services and schemes. Their Safe Motherhood in the Sundarbans program aims at reducing maternal and child mortality through increased antenatal and postnatal care. Pregnant women are facilitated to register their pregnancy at Government sub-centers and encouraged to undertake institutional delivery through various Government schemes. They also conduct a range of health camps in the community; ensuring quality professional healthcare is available. The camps include gynaecology, optometry and pediatric services.Sponsor the nutrition and health care to a child in a shelter homeHelp the poor people in the remote islands of Sunderbans get access to healthcare",+91 33 24414357,"Rajdanga Main Road (East), Kolkata 700107 West Bengal",arunabha@sabujsangha.org,https://www.giveindia.org/nonprofit/sabuj-sangha
53,SOS Childrens Villages of India,children,Delhi,"SOS Children's Villages of India is an independent and non-profit organisation working towards holistic development of parentless children, women and children belonging to vulnerable families. Based at Faridabad, they have worked with children and communities in disaster struck and disaster-prone areas, spreading hope to weary societies and families. Striving to achieve their vision where every child grows up in a family with love, respect & security, the organization bases its work on the four pillars of The Mother, Brothers and Sisters, The House and The Village. Their various flagship programs like Family Based Care and Family Strengthening Program have reached out to over 25,000 parentless children across 22 states and 32 locations in India. The noble efforts of their 1700 strong workforce were awarded the Strong Delivery Capability & High Financial Proficiency Award by the prestigious CRISIL VO 2A. Providing a home-like environment and long-term support to every child up to the age of 24, the members of this organization are committed to the welfare of parentless and abandoned children and to the strengthening of families and communities as a preventive measure in the fight against abandonment and social neglect.Srinagar, Shillong, Begusarai, HojaiSponsor a child's education in remote areasShillong, Srinagar, Hojai, BegusaraiSponsor a child's accommodation and well being",+91 01143239200,"Plot Number 4, Block C-1  Nelson Mandela Marg, Vasant Kunj  New Delhi 110 070 Delhi",deepika.arora@soscvindia.org,https://www.giveindia.org/nonprofit/sos-childrens-villages-of-india
54,Teach For India,education,Maharashtra,"In 2006, 17 years after starting the Akanksha Foundation, Shaheen felt compelled to address the issue of educational inequity at scale. As she thought through the solution, she believed that the answer lay in a people's movement that needed to come together to provide every child in India an excellent education. In 2007, Shaheen met with Wendy Kopp, the Founder of Teach For America and was struck by the idea of leadership being at the core of the solution. In 2009, Teach For India welcomed our first cohort, the Class of 2009, to the Fellowship. The 87 ""niners"" formed the beginning of what Shaheen hoped would become a nationwide movement of diverse leaders. In 2011, their Niners graduated from the Fellowship and became the first cohort in their Alumni movement. Through their work as Alumni, the hope was that they would become lifelong leaders for equity. Their first cohort of Alumni went into teaching, teacher training, school leadership, and government policy. Today, they have 1145 Fellows working relentlessly in the short-term to change the lives of 40,075 students in their classrooms and become leaders for change themselves. And they have 2581 Alumni who are collectively fuelling the larger movement towards our vision. The problem of educational inequity cannot be solved alone. Their story is in the relentless efforts of their fellows, alumni, staff, partners and supporters, and their children. Together, they believe that we can redraw India to be the country we want it to be.",+91 22 25185821,"Godrej One, 2nd Floor, Eastern Express Highway, Pirojshanagar, Vikhroli East, Mumbai 400079 Maharashtra",radhi.mehta@teachforindia.org,https://www.giveindia.org/nonprofit/teach-for-india
55,"Blind Peoples Association, India",health,Gujarat,"BPA started as a recreational club for visually impaired people but now serves people with all kinds of disabilities, including visual impairment, hearing impairment, mental retardation, orthopedic impairment, mental illness, multiple disabilities etc.  BPA - ONE WINDOW SERVICE FOR PERSONS WITH DISABILITIES, is a professional organization that strives to provide education, employment opportunities, equal rights and a good quality of life to differently-abled people. The Employment and Placement services is a step towards providing employment as well as self-employment opportunities for people with disabilities so that they can be made financially independent and self-sufficient. They also work towards production and free distribution of assistive devices like crutches, calipers, wheelchairs, mobility devices etc. During the last five years, BPA has been successful in providing employment to as many as 1500 people, who are presently employed in public as well as private sectors, and are capable of handling important assignments in banks, railways, hospitals, restaurants, etc. The organization works relentlessly to provide these people with regular jobs so that they can be accepted in mainstream society without any discrimination. Having received the National Award and FICCI Award, BPA is recognized as a nodal agency.Gift sight with a cataract surgery",+91 79 26306432,"Surdas Marg, Jagdish Patel Chowk,  Vastrapur, Ahmedabad 380015 Gujarat",bpaiceviad1@bsnl.in,https://www.giveindia.org/nonprofit/blind-peoples-association-india
56,Sarthak Prayas,education,Delhi,"Sarthak Prayas was established in the year 2003 with aim to help the underprivileged of New Delhi in the area of health and education. The programs are spread across different slum areas in the city. Two of their major interventions are in the field of education as well as elderly. Under education, Sarthak Prayas runs remedial education centers where students from government schools attend classes every day to improve their knowledge. The centres help students complete their homework and revise lessons of the day. They also impart life skills and teach them how to deal with real life situations. The organisation runs eight centers in Delhi/NCR with 40 students studying in each center. Since the children are from an impoverished background, the organisation also supplements their nutrition with packed food every day after the class. In addition to this, as part of recreation for the children, the centres also celebrate children's birthdays every month. During the celebrations, children cut cake and the teachers distribute gifts. Each day the students attend sessions for approximately 90 minutes. Their other program focuses on people at the other end of the age spectrum, the underprivileged elderly. The premise behind this is that the elderly have struggled all their life for food, shelter and livelihood. They have now reached an age where their bodies don't allow them to work a lot and their economic conditions do not allow their families to be able to take care of them either.Sarthak Prayas visits the slums and identifies elderly people who were unable to take care of themselves. As a part of their intervention, they provide dry ration on a monthly basis for a one person's need. They also provide quarterly clothing and toiletries. The material is distributed in designated locations near their slums every month. Apart from the above two programs, they also run a telephonic helpline centre for people who require blood transfusions. Sarthak Prayas tries to fulfil requests raised within 2 hours. Finally, they also organise awareness camps at public places and schools on the dangers of Global warming. Till now, they run such camps for more 1000 students in the Delhi/ NCR region.Sponsor events celebrations for poor kids living in slumsSupport poor elderly citizens with monthly rations and toiletries",+91 11 25228108,"Plot No.16 (GF), Road No. 70, Punjabi Bagh West, New Delhi 110026 Delhi",harsharora@sarthakprayas.org,https://www.giveindia.org/nonprofit/sarthak-prayas
57,Maria Seva Sangha,education,Karnataka,"Maria Seva Sangha (M.S.S) is a charitable society registered under Section 12A of the Indian Income Tax Act. Maria Seva Sangha was established in 1981 to undertake educational, medical, housing and other social activities in aid of the poor and the underprivileged of all ages, irrespective of caste, creed, and community.The initial seeds of Maria Seva Sangha was planted by Ms. Ethel Brito, a prominent social worker. Back in the 1970s, Ms. Brito was strongly concerned by the poor quality of life of the weaker sections of society in Bangalore. Her dream of improving the plight of the underprivileged began to grow and in 1981, the Maria Seva Sangha was born, to cater to their needs.Some of the issues that Ms. Brito felt strongly about inlcuded:Poor, deserving students not being able to pursue higher studies due to financial constraints.Hundreds of poverty stricken children attending school on empty stomachs.Shortage of housing for battered women, widows and low income group families.Large numbers of elderly people desperately wanting care and shelter.In 1981, Ms. Brito, along with a group of like-minded, public-spirited people, set up a voluntary organization and they called it, Maria Seva Sangha. They worked together to obtain registration, tax-exemption, FCRA sanction and the like, to establish the institution's credentials in the eyes of the public. Several projects were launched to support economically deprived children, widows, families and elders, through a strong financial base slowly built up by the generosity and goodwill of donors.However, following prolonged litigation, spanning over one-and-a-half decades, related to the eviction of tenants and settlement of claims on properties bequeathed to MSS, the Sangha's resources were severely depleted. With good support from donors and the public, on closure of these issues, the Sangha has been able to embark whole-heartedly on two new projects, the Senior Citizens Home and the development of apartment buildings and residential sites for the underprivileged- Mathrudhan- at Krishnarajapuram .The Midday Meal Scheme for underpriviledged children commenced in 1987. It aims to improve attendance in schools along with the health of the children and their performance in studies. The incentive of free midday meals pulled children from slum areas into schools thus avoiding them getting involved in theft, drugs prostitution, etc.They currently aid 21 schools in Bangalore Urban and Bangalore Rural.  The monitoring of meals effectiveness is done by Maria Seva Sangha aided by St.Anne's Women's Degree College, Ulsoor.Over the past 37 years, the dream of one lady has become a reality, benefiting thousands of poor and needy persons and has given the members of the MSS great personal satisfaction for their selfless service.Sponsor education of a very poor secondary school child",+91 80 25361481,"No.8, Palm Grove Cross Road, Victoria Layout, Austin Town, Bangalore - 560047. (Landmark - Next to Cat Air Travels Pvt Ltd)",mariasevasangha@gmail.com,https://www.giveindia.org/nonprofit/maria-seva-sangha
58,Tomorrows Foundation,education,West Bengal,"The vision of Tomorrow's Foundation is to improve the quality of life of the deprived children, empowering them with education and skills with a view to help them realize their self-worth, so that they can grow into self-respecting and independent individual Arup Ghosh was an intern at Nirmal Hriday, the destitute home of Mother Teresa. He began teaching the destitute children who came to have snacks. From this initiative, the Tomorrow's Foundation emerged.  Tomorrow Foundation aims to help children affected by political violence improve their self-confidence and allow them to establish themselves as dignified citizens of this world. Regular local, national and international exposure programmes are conducted so that the children are able to aspire for a better future and becomes role models in their own communities.  The foundation works with children and women from the slums of Kolkata. They work towards mainstreaming children and providing remedial education. They work with women in improving the standard of life by creating skilled tailors through Swabalamban Project, conducting club meeting, parents meeting & mothers meeting for the formation of SHG groups to make them self-reliant.Help children affected by political violence rebuild their lives",+91 03324651520," 61/1 Pratapaditya Road,  Near HP Gas Office,  Kolkata 700026 West Bengal",indranil@tomorrowsfoundation.org,https://www.giveindia.org/nonprofit/tomorrows-foundation
59,Charutar Arogya Mandal,health,Gujarat,"Charutar Arogya Mandal targets to provide comprehensive and personalized health care with commitment at an affordable cost to patient's satisfaction. They seek to provide the best medical care to the rural community and facilities for medical education to the people of Anand and Kheda districts with a minimal amount. Several measures have been taken to make health-care affordable for the poor such as free consultation fee for outdoor consultations, free treatment to women and children belonging to BPL family etc. All these measures benefit over 40% of the patients admitted to the hospital and many outdoor patients. What started with a general hospital with 136 beds is now an institution that includes a Medical Council of India recognized as a medical college, a 720-bed hospital, an institute of post-graduate studies, a school of nursing, a college of physiotherapy, an institute of medical technology, a cardiac center and a cancer center. Charutar Arogya Mandal has been conferred with many awards, one of them being the Guidestar India by the Guidestar India Gold Award in 2016. Despite the challenges faced in sustaining the institution, CAM constantly endeavors to innovate and deliver better healthcare to all.Help a poor patient fight cancerGift the joy of motherhoodHelp a poor cancer patient with radiation therapy",+91 2692 228414,"Shree Krishna Hospital, Management Centre,  PR Department (2nd Floor),  Gokal Nagar, Karamsad,  Anand 388325 Gujarat",rakeshp@charutarhealth.org,https://www.giveindia.org/nonprofit/charutar-arogya-mandal
60,Turnstone Global,children,West Bengal,"Turnstone Global is a not for profit social enterprise working with relentless effort for the overall improvement of human lives, irrespective of age, gender, religious beliefs, cast, ethnic origin, birth place or disability status.The organisation started in 1952, for the betterment of the lives of the visually challenged. Turnstone Global is headed by Dr. Kanchan Gaba, a 100% visually impaired lady, who fought against all odds to obtain her PhD in International Law and established herself as a lecturer of Calcutta University. Today, apart from being a lecturer, she is a social activist.They work for the betterment of lives of the disabled, in particular, the visually impaired; to provide education, training with a view to rehabilitate them and improve their livelihood. A major focus area of the organisation is early intervention and prevention of blindness.The scale of operations of Turnstone Global spans across eleven states, West Bengal, Orissa, Bihar, Mizoram, Assam, Meghalaya, Tripura, Punjab, Uttar Pradesh, Rajasthan and Delhi, with more than two hundred gram Panchayats. They have touched the lives of more than one million in the past decade. At any given point of time eleven thousand beneficiaries are under their care. Several hundreds of them reside permanently with them.The organisation undertakes programmes and plans its activities based on field level in-depth analysis of the demography and socioeconomic condition of the project area. Their endeavour is to involve community based organisations directly in their project areas where they cater to project planning, phase to phase implementation, monitoring and constant evaluation.Turnstone Global has been creating impact with a force of 250 staff, more than 500 volunteers and networking partners working in 11 states, 24 cities and 200 Gram Panchayats in India, with its headquarter in Kolkata, through over 62 programs and community-based services.Sponsor educational expenses for a child from a poor familySponsor a hearing aid to help a poor hearing impaired person",+91 33 25460034,"Suite #F-1, Om Tower, 36C, B. T. Road, Kolkata 700002 West Bengal",biswas.anup@turnstoneglobal.org,https://www.giveindia.org/nonprofit/turnstone-global
61,UDAAN India Foundation,education,Maharashtra,"Udaan India Foundation works with the motive of enabling a brighter future for children from low-income communities by providing them with desired knowledge, skills, values and support to achieve their true potential.The foundation of what Udaan is today was laid in 2004 when a group of people came together to help children from the construction workers' community to get into mainstream schools. Thus began Project Udaan. The overwhelming progress shown by the children enrolled at Udaan Learning Centre programs over the years paved the way for Project Udaan to be registered as Udaan India Foundation in 2009.Mamta Rangan founded Udaan India Foundation as the informal Project Udaan. Taking a sabbatical from the corporate sector, her move to Mumbai brought her face to face with the stark inequities that we so often fail to notice in our busy lives. Her belief, ""education is key to Change"" led her to start Project Udaan to help children of construction workers to enrol in mainstream schools. The project was registered as a non-profit in 2009 to support the educational needs of children from low-income communities. The organisation today offers a range of programs that include Kindergarten, Learning Center, School Support, Saturday Club, Library, Alumni support and Scholarships and Skills Enhancement. No. of 10th students for mentoring, guidance and scholarships program - 123No. of support learning programmes for Municipal school - 755No. of children from low-income community for Pre school programme - 83No. of youths for spoken English and computer literacy courses - 202No. of children for after school programme in Municipal school - 392Support underprivileged children begin their educational journey",+91 99872 80883,"Shop no.5, Friends CHS, Ganesh Nagar, Panch kutir, Powai, Mumbai, Maharashtra - 400076",sushree.uif@gmail.com,https://www.giveindia.org/nonprofit/udaan-india-foundation
62,Magic Bus India Foundation,education,Mumbai,"Magic Bus equips children and young people in the age group of 12 to 18, with the skills and knowledge they need, to grow up and move out of poverty. This takes them from a childhood full of challenges to a life with meaningful livelihoods. Since its inception, Magic Bus has transformed the lives of one million children and young people, helping them move out of poverty by enabling them to complete secondary education, delay their age of marriage, and skilling young people to be in jobs, thus, helping move an entire generation out of the vicious cycle of poverty. Magic Bus programme works with boys and girls, where we aim to build strong life skills, self-efficacy, ability to complete secondary education and build strong peer support groups so that children are able to complete education and gain confidence to help them move out the poverty cycle. The programme aims to enable the girls to be more confident, take her decisions, awareness on SRHR, and through completion of secondary education have higher chances of getting livelihood, thus be economically independent. While the enable boys to cede space and be more gender sensitive. Both boys and girls are empowered to make better decisions in life.educationBhandaraSupport a child in their journey from childhood to adulthood",+919820176734,"3rd Floor, JK Textiles Building, Mehra Estate, Near Jaswanti Landmark, LBS Marg, Vikhroli West, Mumbai, Maharashtra - 400079",rohit_s@magicbusindia.org,https://www.giveindia.org/nonprofit/magic-bus-india-foundation
63,Ashray Akruti,differently abled,Telangana,"Ashray Akruti is a registered non-profit, non-religious organization and also is member of the World Hearing Forum which is recognized by World Health Organization (WHO); working since 1996, to improve the lives of children with disabilities from marginalized sections of society. The organization strongly believes in the potential of persons with disabilities and envisions a society where people with disabilities lead a life of dignity as equal citizens with equitable access to opportunities and services. Ashray Akruti offers quality education, health care, and sustainable livelihoods to people with disabilities and underprivileged. We also equip special education and rehabilitation services for children with disabilities and provide ear and hearing screening, diagnosis, and management through outreach programs for children and adults. Residential facility is also provided to children who come from other states and outside Hyderabad. Ashray Akruti is reaching out to the vulnerable section of the society by providing groceries and other consumable goods and commodities. Akruti is an accredited organization certified by “Credibility Alliance”, following norms of accountability, transparency, and good governance. It is empanelled with the National CSR hub of the Tata Institute of Social Sciences. Ashray Akruti was awarded as the Best NGO in Hyderabad by Government of Telangana on 1st June 2016. Ashray Akruti received ""The Best Institution"" State Award for its services in the disability sector in the year 2017. Ashray Akruti received Transparency award from GuideStar India. We render quality services and protect the rights and dignity of the hearing-impaired.Gift a hearing aid to a hearing impaired childEducate a poor hearing impaired childSponsor the stay of a hearing impaired child",+91 040 40042250,"8-3-1027;A2, Lane Opp.Indian Bank,  Hyderabad 500073 Telangana",anuda@ashrayakruti.in,https://www.giveindia.org/nonprofit/ashray-akruti
64,Sai Kripa,children,Uttar Pradesh,"The mission of the organisation is to provide homeless, abandoned children with the basics of life - a home, education, love and affection, and above all, an existence with dignity.Saikripa is essentially the brainchild of Anjina Rajagopal. She had always nurtured the desire to work with poor children. Anjina Rajagopal was touched during her younger days by the plight of the orphans soliciting alms on the streets. This pushed her to come into the social work space, full-time, leaving behind a lucrative livelihood. In 1989, Sai Kripa was registered. In 2017, Ms. Anjina Rajagopal was awarded the Laasya Awards by the SUBH Power Collage Consultants Award for Women of Exceptional Background.In 1988, Saikripa was like a baby lost in the woods - because nobody took Anjina and her brainchild Saikripa seriously. But slowly people started joining hands with Saikripa and a strong bond was formed. On 27th February 1990 BAL KUTIR formally opened its doors to children at F-44, Sector-20. It started with one child but now it has grown into a large family of children who are as happy and intelligent as any child who has his own family. Apart from this, 11 children have taken up jobs and are living independently,3 three girls have been married off and more than 75 children have been restored to their families with the cooperation of the police and the public. BAL KUTIR was set up not only to provide shelter and the basic needs of children, but also Home to provide them with love and affection. On 8th April 1991 Sai Shiksha Sansthan an English medium school was started in village with classes up to 2nd Std. Today the school has come up to the 10th std. Children given nutritious food - 60Children provided education up to Grade 10 - 69Children educated at Sai Bal Sansar - 180Sponsor the English medium education for a poor studentSponsor meals for orphaned or abandoned children",+91 120 2531521,"Z-133-134, Sector-12, Noida 201301 Uttar Pradesh",agaur15aug@gmail.com,https://www.giveindia.org/nonprofit/sai-kripa
65,Child Nurture and Relief Kashmir (CHINAR Kashmir),education,Jammu and Kashmir,"The Kashmir conflict had created a large number of orphans in addition to causing major social change, CHINAR Kashmir was formed to address the psychosocial needs of these orphans. The organization focuses on improving the lives of marginalized children, women and families. CHINAR Kashmir runs several innovative programs geared towards the social and economic empowerment of women and youth and providing material assistance to impoverished families whose homes have been damaged due to natural disasters or other reasons. Remote Child Sponsorship Program, CHINAR Home Program, Disaster Relief and Rehabilitation, Skills Enhancement and Entrepreneurship Development, Giving House Assistance and Relief are the programmes presently run by CHINAR.  The children residing in the CHINAR homes are provided with quality education in good private schools and in-house tuition. A myriad set of extra-curricular activities are also organized to ensure a well-rounded education. CHINAR Kashmir is relentlessly providing these children with a stable support system so that they can lift themselves out of the cycle of violence & become productive members of society.Educate an underprivileged child in Kashmir Opposite Ply Emporium, Barzulla Srinagar 190005 Jammu & Kashmir",+91 97070 48654,"Guru Lane,  Opposite Ply Emporium, Barzulla Srinagar 190005 Jammu & Kashmir",khansumiya2001@gmail.com,https://www.giveindia.org/nonprofit/child-nurture-and-relief-kashmir-chinar-kashmir
66,Foundation for Excellence India Trust (FFE India Trust),education,Karnataka,"The Foundation for Excellence (FFE) is a registered non-profit, based in the USA and was founded by the serial entrepreneur, Dr. Prabhu Goel. The Foundation for Excellence India Trust (FFEIT) was registered in 2003 as a public Charitable Trust in India to expand the scope of FFE’s  support and works in association with FFE. It has the same objectives as FFE,  but raises resources from donors worldwide. Foundation for Excellence was formed with the mission to help economically underprivileged and academically bright students complete their higher education through a Scholarship Program. The objective of the program is to help these students and their families transition from a low to middle income group in a single generation. The scholarship program also envisions a multiplier effect as each scholar will then go on to support at least 2 other scholars in his/her lifetime.In twenty five years since its inception in 1994, FFE has already helped over 22,400 scholars across India, changing their lives for posterity; over 63,800 scholarships in excess of USD 27 million (~Rs. 189 Crores) have been awarded to students in 27 states in India. FFE has a network of over 500 volunteer “facilitators” distributed throughout India who identify potential awardees, verify the genuineness of their need, and act as mentors once the scholarship is awarded. This ensures that only genuinely deserving students are awarded scholarships.2019-20 has been a record-breaking year on multiple fronts. FFE awarded a total of 6383 scholarships amounting to Rs. 27.27 Crores during FY 2019-20. Of these, 4756 scholarships were awarded to Engineering students and 1565 to Medical students. FFE also launched scholarships supporting 2 new disciplines in FY 2019-20, awarding 17 LLB scholarships to students pursuing law, and 45 scholarships to students pursuing BPharm degrees in India. FY 2019-20 saw the largest and most involved alumni participation in the ""Circle of Giving"", with more than 1500 alumni contributing in excess of Rs. 1 Crore to FFE, another milestone that was achieved in close collaboration with FFE’s alumni.educationEducate an underprivileged engineering student",+91 89792 82552," 5th Main, Indiranagar 1st Stage, Bangalore 560038 Karnataka",donorsupportindia@ffe.org,https://www.giveindia.org/nonprofit/foundation-for-excellence-india-trust-ffe-india-trust
67,Make A Difference,education,Karnataka,"Make A Difference (MAD) is a youth driven, non-profit organisation working to ensure equitable outcomes for children in orphanages and street shelters. Registered as a non-profit in 2006, Make A Difference reaches out to over 3,460 children in 67 shelters across 23 cities in India, through a highly efficient 3,822 strong volunteer network. Volunteers commit a year and spend between 2 and 10 hours every week mentoring, teaching and interacting with children in order to ensure that they get the support and care they need during childhood.Their aim is to ensure that even the most vulnerable children in shelters are able to realize equitable outcomes and that they are able to live a life free from exploitation, with a capability of managing emotional and financial life crises.Support education of children in a shelter homeSupport living expenses of children in a shelter home",+91 99003 99313,"16 C, 1st Main Road 14th Cross Bangalore 560102 Karnataka",mannat@makeadiff.in,https://www.giveindia.org/nonprofit/make-a-difference
68,Amar Seva Sangam,education,Tamil Nadu,"Amar Seva Sangram was established to help differently-abled and underprivileged children. Their mission is to empower disabled citizens by rehabilitating them and integrating them into mainstream society. They have a home for rehabilitated physically challenged people that provides free shelter, food, clothing, medical aid, and appliances. Around 50 children with loco-motor disability and associated problems are attended to and provided with special medical care. The school for specially-abled children, Sangamam, provides free education. In Village-based rehabilitation, differently abled people, as well as communities, are involved in the rehabilitation process. They are organized into Self Help Groups for their development and get access to different government schemes. Early Intervention Center aims to intervene as early as possible and minimize disability so that the child can reach the highest potential. They cater to the needs of the children under 5 years. 30 Special children have been served so far, out of which 8 have been mainstreamed. Amar Foundation is a trust, with a mission to generate employment for the rural poor and handicapped. They have 65 employees of which around 25 are specially-abled. Sri S. Ramakrishnan, the founder was awarded the Amazing Indians Award for his extraordinary work and selfless devotion.Help rural children get access to nursery educationEducate poor children in an integrated schoolHelp a differently abled person walk independentlySulochana Gardens, ",+91 4633 249170,"7-4-104B,  Tenkasi Road, Post Box No. 001,  Tirunelveli District,  Ayikudy 627852 Tamilnadu",secretary.amar@amarseva.org,https://www.giveindia.org/nonprofit/amar-seva-sangam
69,Towards Future,education,West Bengal,"A few like minded people willing to contribute their time, resources and emotion to the weaker section of the society, have managed to form an organization named Towards Future.Supriya Roy Chowdhury, the Founder and current head of the organisation, with some like minded friends decided to do something good for the society and formed Towards Future in 2008. Before Towards Future's registration Supriya worked in different NGOs for 13 years and has noticed that poor children are not receiving quality education. So the team of Towards Future decided to begin with child education which started with eight children at Kalyani center. Later on corporate houses like Wipro Cares, Acclaris Business Solutions Pvt Ltd and some generous donors came forward to assist Towards Future which makes the job of the team smooth and easy. During her working period with other organizations, Supriya gathered experience in the field of child education, so she felt like contributing to this sector. Supriya also worked in the field of women rights issues, so later on Supriya introduced a project on women rights in Towards Future.The aims of Towards Future are:- Offering opportunities for basic education- Access to primary and vocational education- Reduce infant mortality- Improve health & Hygiene- Promote sustainable economic development- Promoting women empowerment- Conserve and protect ecology and environmentNumber of children enrolled in remedial class program and continued till end of academic year - 34Number of children enrolled in primary school program and continued till end of academic year - 140Number of children receive support throughout the year - 5Number of children enrolled in preschool program and continued till end of academic year - 98Number of beneficiaries participate in our different women empowerment activities throughout the year - 200Number of children enrolled in non-formal learning program and continued till end of academic year - 251Sponsor nutrition and pre school expenses of a poor child",+91 98316 30412,Kolkata 700055 West Bengal,supriya_royc@yahoo.com,https://www.giveindia.org/nonprofit/towards-future
