,frca
13378,NIL
13379,Now applying
13380,052830151
13381,No
13382,93
13383,052910326
13384,259
13385,052980172
13386,N A
13387,NO
13388,052930010
13389,APPLIED
13390,NA
13391,052930174
13392,052930029
13393,052960003
13394,NO
13395,052910207 dated 04 Nov 19
13396,NIL
13397,052910301
13398,052910215
13399,052910265
13400,NIL
13401,NIL
13402,052850028
13403,083780908
13404,no
13405,052910213
13406,052850492
13407,052850492
13408,no
13409,NO
13410,nil
13411,NO
13412,NIL
13413,052940053
13414,0 5 2 9 1 0 2 3 9
13415,nill
13416,Nil
13417,052900372
13418,NIL
13419,No
13420,052950079
13421,052900080
13422,052980133
13423,NO
13424,052870343
13425,052850443
13426,nil
13427,Nil
13428,052910076
13429,Nil
13430,no
13431,Nil
13432,052810142
13433,052810142
13434,APPLYING FOR RENEWAL
13435,052890071
13436,052900026
13437,nehru yuva kendra kozikod
13438,052880113
13439,nil
13440,nil
13441,NO
13442,052930208
13443,NIL
13444,052910222
13445,Nil
13446,Nil
13447,052940054
13448,NA
13449,052920014
13450,052910125
13451,052910125
13452,nil
13453,Nil
13454,052850168
13455,Nil
13456,No
13457,No
13458,052910234
13459,NO
13460,0 5 2 8 7 0 1 1 7
13461,052870117
13462,052870117
13463,052870117
13464,052830140
13465,052880157
13466,052830140
13467,???My
13468,NIL
13469,052880165
13470,052810126
13471,052910010
13472,052950054
13473,058250087
13474,Nil
13475,AAAAT8173E
13476,052940079
13477,052870345
13478,052910254
13479,NIL
13480,No
13481,052810126
13482,052810018
13483,052830029
13484,Nil
13485,NIL
13486,052910358
13487,NIL
13488,N A
13489,Nil
13490,052980140
13491,applied
13492,No
13493,Nil
13494,NIL
13495,052880163
13496,052910149
13497,NO
13498,NA
13499,052980025
13500,Nil
13501,052910304
13502,052910304
13503,Nil
13504,5237
13505,0 5 2 8 5 0 1 3 1
13506,NIL
13507,052910351
13508,FCRA No 052910139
13509,Nil
13510,052910139
13511,No
13512,Not Available
13513,Available
13514,Not Available
13515,Not Available
13516,nil
13517,Not Available
13518,Available
13519,Available
13520,Not Available
13521,Not Available
13522,Available
13523,094421130
13524,094420856
13525,Not Available
13526,Available
13527,094421155
13528,094520026
13529,Available
13530,Available
13531,Available
13532,Not Available
13533,Available
13534,Available
13535,Available
13536,Available
13537,Not Available
13538,Not Available
13539,Available
13540,Available
13541,Available
13542,Not Available
13543,Not Available
13544,Not Available
13545,Available
13546,Not Available
13547,Not Available
13548,Not Available
13549,Not Available
13550,Available
13551,Not Available
13552,Not Available
13553,Not Available
13554,Available
13555,Not Available
13556,Not Available
13557,Available
13558,Available
13559,Not Available
13560,Available
13561,Not Available
13562,Not Available
13563,052870331
13564,Not Available
13565,Not Available
13566,Available
13567,Not Available
13568,Not Available
13569,Not Available
13570,Available
13571,Available
13572,Not Available
13573,Available
13574,Available
13575,Available
13576,Available
13577,Available
13578,Available
13579,Not Available
13580,Not Available
13581,Available
13582,Available
13583,Not Available
13584,Not Available
13585,Not Available
13586,Not Available
13587,Not Available
13588,Not Available
13589,Not Available
13590,Available
13591,Not Available
13592,Not Available
13593,Available
13594,Available
13595,Available
13596,Not Available
13597,Available
13598,Available
13599,Not Available
13600,Not Available
13601,Available
13602,Available
13603,Available
13604,Available
13605,Available
13606,Not Available
13607,Available
13608,Not Available
13609,Available
13610,Not Available
13611,Not Available
13612,Available
13613,Not Available
13614,Available
13615,Available
13616,Available
13617,Available
13618,Available
13619,Not Available
13620,Not Available
13621,Available
13622,Available
13623,Not Available
13624,Available
13625,Not Available
13626,Available
13627,Available
13628,Available
13629,Available
13630,Available
13631,Available
13632,Available
13633,Not Available
13634,Not Available
13635,Available
13636,Available
13637,Available
13638,Not Available
13639,Available
13640,Not Available
13641,Available
13642,Not Available
13643,Not Available
13644,Available
13645,Not Available
13646,Available
13647,Not Available
13648,Available
13649,Available
13650,Available
13651,Available
13652,Available
13653,Not Available
13654,Not Available
13655,Available
13656,Available
13657,Available
13658,Available
13659,Available
13660,Not Available
13661,Available
13662,Not Available
13663,Available
13664,Available
13665,Not Available
13666,Not Available
13667,Available
13668,Available
13669,Not Available
13670,Available
13671,Not Available
13672,Available
13673,Not Available
13674,Not Available
13675,Not Available
13676,Not Available
13677,Not Available
13678,Not Available
13679,Not Available
13680,Not Available
13681,052850438
13682,Not Available
13683,Not Available
13684,Available
13685,Not Available
13686,Available
13687,Not Available
13688,Available
13689,Not Available
13690,Available
13691,Not Available
13692,Not Available
13693,Available
13694,Not Available
13695,Not Available
13696,Not Available
13697,Not Available
13698,Available
13699,Not Available
13700,Available
13701,Not Available
13702,Not Available
13703,Not Available
13704,Not Available
13705,Not Available
13706,Available
13707,Not Available
13708,Available
13709,Not Available
13710,Available
13711,Available
13712,Not Available
13713,Not Available
13714,Not Available
13715,Available
13716,Not Available
13717,Not Available
13718,052900282
13719,Not Available
13720,Available
13721,Not Available
13722,Available
13723,Not Available
13724,Not Available
13725,Not Available
13726,Not Available
13727,Not Available
13728,Not Available
13729,Not Available
13730,Available
13731,Not Available
13732,Available
13733,Not Available
13734,Available
13735,Not Available
13736,Not Available
13737,Not Available
13738,Not Available
13739,Not Available
13740,Available
13741,Available
13742,Not Available
13743,Available
13744,Not Available
13745,09-02-1978
13746,Available
13747,Available
13748,Available
13749,Not Available
13750,Available
13751,Available
13752,Not Available
13753,Available
13754,Not Available
13755,Available
13756,Not Available
13757,Available
13758,Not Available
13759,Available
13760,Not Available
13761,Available
13762,Available
13763,Not Available
13764,Available
13765,Available
13766,Available
13767,Not Available
13768,Available
13769,Not Available
13770,Available
13771,Available
13772,Not Available
13773,Not Available
13774,Available
13775,Available
13776,Available
13777,Available
13778,Available
13779,Not Available
13780,Available
13781,Available
13782,Available
13783,Available
13784,Available
13785,Available
13786,Available
13787,Not Available
13788,Not Available
13789,Available
13790,Not Available
13791,Available
13792,Available
13793,Available
13794,Available
13795,Not Available
13796,Available
13797,Available
13798,Not Available
13799,Available
13800,Available
13801,Available
13802,Available
13803,Available
13804,Not Available
13805,Available
13806,Not Available
13807,Not Available
13808,Not Available
13809,Not Available
13810,Not Available
13811,Not Available
13812,Not Available
13813,Not Available
13814,Not Available
13815,Not Available
13816,Available
13817,Not Available
13818,Available
13819,Not Available
13820,Available
13821,Not Available
13822,Available
13823,Not Available
13824,Not Available
13825,Not Available
13826,052910378
13827,Available
13828,Not Available
13829,Not Available
13830,Not Available
13831,Not Available
13832,Not Available
13833,Not Available
13834,Not Available
13835,Not Available
13836,Available
13837,Not Available
13838,Available
13839,Not Available
13840,Not Available
13841,Not Available
13842,Available
13843,Available
13844,Available
13845,Available
13846,Available
13847,Not Available
13848,Available
13849,Available
13850,Available
13851,Available
13852,Available
13853,Available
13854,Available
13855,Not Available
13856,Available
13857,Not Available
13858,Available
13859,Available
13860,Available
13861,Available
13862,Available
13863,Not Available
13864,Not Available
13865,Not Available
13866,Not Available
13867,Available
13868,Available
13869,Not Available
13870,Available
13871,Available
13872,Not Available
13873,Available
13874,Available
13875,Not Available
13876,Not Available
13877,Available
13878,Not Available
13879,Not Available
13880,Available
13881,Not Available
13882,Available
13883,Available
13884,Not Available
13885,Available
13886,Not Available
13887,Not Available
13888,Not Available
13889,Not Available
13890,Available
13891,Not Available
13892,Available
13893,Not Available
13894,Not Available
13895,Not Available
13896,Not Available
13897,Not Available
13898,Available
13899,Available
13900,Available
13901,Not Available
13902,Available
13903,Available
13904,Available
13905,Available
13906,Available
13907,Not Available
13908,Not Available
13909,Not Available
13910,Not Available
13911,Available
13912,Not Available
13913,Available
13914,Not Available
13915,Available
13916,Not Available
13917,Not Available
13918,Not Available
13919,Not Available
13920,Available
13921,Not Available
13922,Available
13923,Available
13924,Not Available
13925,Not Available
13926,Available
13927,Not Available
13928,Available
13929,Not Available
13930,Not Available
13931,Not Available
13932,Not Available
13933,Not Available
13934,Not Available
13935,Not Available
13936,Available
13937,Not Available
13938,Not Available
13939,Available
13940,Not Available
13941,Available
13942,Not Available
13943,Nil
13944,Not Available
13945,Not Available
13946,Available
13947,Not Available
13948,Available
13949,Not Available
13950,Available
13951,Available
13952,Not Available
13953,Available
13954,Not Available
13955,Available
13956,Not Available
13957,Not Available
13958,Not Available
13959,Not Available
13960,Available
13961,Not Available
13962,Not Available
13963,Not Available
13964,Not Available
13965,Not Available
13966,Available
13967,Not Available
13968,Not Available
13969,Not Available
13970,Available
13971,Available
13972,Not Available
13973,Available
13974,Available
13975,Not Available
13976,Available
13977,Not Available
13978,Available
13979,Available
13980,Not Available
13981,Not Available
13982,Not Available
13983,Available
13984,Not Available
13985,Not Available
13986,Not Available
13987,Not Available
13988,Available
13989,Not Available
13990,Not Available
13991,Not Available
13992,Available
13993,Available
13994,Not Available
13995,Not Available
13996,Not Available
13997,Not Available
13998,Not Available
13999,Not Available
14000,Available
14001,Not Available
14002,Not Available
14003,Not Available
14004,Available
14005,Not Available
14006,Not Available
14007,Available
14008,Not Available
14009,Not Available
14010,Not Available
14011,Available
14012,Not Available
14013,Available
14014,Not Available
14015,Not Available
14016,Not Available
14017,Not Available
14018,Available
14019,Not Available
14020,Available
14021,Available
14022,Available
14023,Available
14024,Available
14025,Available
14026,Available
14027,Not Available
14028,Not Available
14029,Not Available
14030,Not Available
14031,Available
14032,Not Available
14033,Available
14034,Available
14035,Not Available
14036,Available
14037,Not Available
14038,Not Available
14039,Not Available
14040,Not Available
14041,Not Available
14042,Available
14043,Available
14044,Not Available
14045,Not Available
14046,Not Available
14047,Available
14048,Not Available
14049,Not Available
14050,Available
14051,Not Available
14052,Not Available
14053,Available
14054,Available
14055,Not Available
14056,Available
14057,Available
14058,Not Available
14059,Not Available
14060,Not Available
14061,Not Available
14062,Available
14063,Not Available
14064,Not Available
14065,Not Available
14066,Available
14067,Not Available
14068,Available
14069,Not Available
14070,Not Available
14071,Available
14072,Available
14073,Not Available
14074,Available
14075,Not Available
14076,Available
14077,Not Available
14078,Not Available
14079,Available
14080,Available
14081,Available
14082,Not Available
14083,Not Available
14084,Not Available
14085,Not Available
14086,Available
14087,Available
14088,Not Available
14089,Not Available
14090,Not Available
14091,Not Available
14092,Not Available
14093,Not Available
14094,Not Available
14095,Not Available
14096,Not Available
14097,Not Available
14098,Available
14099,Not Available
14100,Not Available
14101,Not Available
14102,Not Available
14103,Not Available
14104,Not Available
14105,Not Available
14106,Not Available
14107,Not Available
14108,Available
14109,Not Available
14110,Available
14111,Not Available
14112,Not Available
14113,Available
14114,Not Available
14115,Not Available
14116,Not Available
14117,Not Available
14118,Not Available
14119,Available
14120,Available
14121,Available
14122,Not Available
14123,Not Available
14124,Not Available
14125,Not Available
14126,Not Available
14127,Not Available
14128,Not Available
14129,Not Available
14130,Available
14131,Not Available
14132,Not Available
14133,Not Available
14134,Not Available
14135,Available
14136,Not Available
14137,Available
14138,Available
14139,Not Available
14140,Available
14141,Not Available
14142,Not Available
14143,Not Available
14144,Available
14145,Not Available
14146,Not Available
14147,Available
14148,Not Available
14149,Not Available
14150,Not Available
14151,Available
14152,Not Available
14153,Available
14154,Not Available
14155,Not Available
14156,Not Available
14157,Not Available
14158,Not Available
14159,Not Available
14160,Not Available
14161,Not Available
14162,Not Available
14163,Available
14164,Not Available
14165,Not Available
14166,Not Available
14167,Available
14168,Available
14169,Not Available
14170,Not Available
14171,Not Available
14172,Not Available
14173,Not Available
14174,Available
14175,Available
14176,Not Available
14177,Not Available
14178,Not Available
14179,Available
14180,Not Available
14181,Not Available
14182,Not Available
14183,Not Available
14184,Not Available
14185,Not Available
14186,Not Available
14187,Not Available
14188,Available
14189,Not Available
14190,Not Available
14191,Not Available
14192,Not Available
14193,Not Available
14194,Available
14195,Not Available
14196,Not Available
14197,Not Available
14198,Not Available
14199,Not Available
14200,Not Available
14201,Available
14202,Not Available
14203,Not Available
14204,Available
14205,Not Available
14206,Available
14207,Not Available
14208,Not Available
14209,Not Available
14210,Not Available
14211,Not Available
14212,052850487
14213,Not Available
14214,Not Available
14215,Available
14216,Not Available
14217,Available
14218,Not Available
14219,Not Available
14220,Not Available
14221,Not Available
14222,Not Available
14223,Available
14224,Not Available
14225,Available
14226,Not Available
14227,Not Available
14228,Available
14229,Not Available
14230,Not Available
14231,Not Available
14232,Available
14233,Not Available
14234,Not Available
14235,Available
14236,Not Available
14237,Available
14238,Not Available
14239,Available
14240,Available
14241,Not Available
14242,Not Available
14243,Available
14244,Not Available
14245,Not Available
14246,Not Available
14247,Available
14248,Available
14249,Not Available
14250,Not Available
14251,Not Available
14252,Not Available
14253,Not Available
14254,Not Available
14255,Not Available
14256,Not Available
14257,Not Available
14258,Available
14259,Not Available
14260,Not Available
14261,Not Available
14262,Not Available
14263,Available
14264,Available
14265,Available
14266,Not Available
14267,Not Available
14268,Available
14269,Available
14270,Not Available
14271,Available
14272,Available
14273,Not Available
14274,Not Available
14275,Not Available
14276,Available
14277,Available
14278,Available
14279,Available
14280,Not Available
14281,Not Available
14282,Not Available
14283,Available
14284,Not Available
14285,Not Available
14286,Not Available
14287,Not Available
14288,Not Available
14289,Not Available
14290,Not Available
14291,Not Available
14292,052910326
14293,Not Available
14294,Not Available
14295,Not Available
14296,Available
14297,Available
14298,Not Available
14299,Not Available
14300,Not Available
14301,Not Available
14302,Not Available
14303,Available
14304,Not Available
14305,Not Available
14306,Not Available
14307,Available
14308,Not Available
14309,Not Available
14310,Not Available
14311,Available
14312,Not Available
14313,Available
14314,Not Available
14315,Not Available
14316,Available
14317,Not Available
14318,Available
14319,Not Available
14320,Available
14321,Not Available
14322,Available
14323,Not Available
14324,Available
14325,Not Available
14326,Not Available
14327,Available
14328,Not Available
14329,Not Available
14330,Available
14331,Not Available
14332,Not Available
14333,Not Available
14334,Not Available
14335,Available
14336,Not Available
14337,Available
14338,Not Available
14339,Available
14340,Not Available
14341,Not Available
14342,Not Available
14343,Available
14344,Available
14345,Not Available
14346,Not Available
14347,Not Available
14348,Available
14349,Not Available
14350,Available
14351,Not Available
14352,Not Available
14353,Not Available
14354,Not Available
14355,Not Available
14356,Not Available
14357,Available
14358,Not Available
14359,30-07-1986
14360,Not Available
14361,Not Available
14362,Not Available
14363,Available
14364,Available
14365,Available
14366,Not Available
14367,Not Available
14368,Not Available
14369,Available
14370,Not Available
14371,Not Available
14372,052910003
14373,Available
14374,Not Available
14375,Not Available
14376,Available
14377,Not Available
14378,Not Available
14379,Available
14380,Available
14381,Available
14382,Available
14383,Not Available
14384,Not Available
14385,Not Available
14386,Available
14387,Not Available
14388,Not Available
14389,Available
14390,Available
14391,Not Available
14392,Available
14393,Available
14394,Available
14395,Available
14396,Available
14397,Available
14398,Available
14399,Not Available
14400,Not Available
14401,Not Available
14402,Not Available
14403,Not Available
14404,Not Available
14405,Not Available
14406,Not Available
14407,Not Available
14408,Not Available
14409,Available
14410,Available
14411,Available
14412,Available
14413,Available
14414,Available
14415,Not Available
14416,Available
14417,Available
14418,Available
14419,Available
14420,Available
14421,Not Available
14422,Not Available
14423,Not Available
14424,Not Available
14425,Not Available
14426,052910148
14427,Not Available
14428,Not Available
14429,Not Available
14430,Not Available
14431,Not Available
14432,Not Available
14433,Not Available
14434,Available
14435,Not Available
14436,Available
14437,Available
14438,Not Available
14439,Available
14440,Not Available
14441,Available
14442,Available
14443,Available
14444,Not Available
14445,Available
14446,Not Available
14447,Not Available
14448,Not Available
14449,Not Available
14450,Not Available
14451,Not Available
14452,Available
14453,Not Available
14454,Not Available
14455,Available
14456,Not Available
14457,Not Available
14458,Not Available
14459,Not Available
14460,Not Available
14461,Not Available
14462,Not Available
14463,Available
14464,Not Available
14465,Not Available
14466,Not Available
14467,Not Available
14468,Not Available
14469,Not Available
14470,Not Available
14471,Not Available
14472,Not Available
14473,Not Available
14474,Not Available
14475,Not Available
14476,Not Available
14477,Not Available
14478,Not Available
14479,Not Available
14480,Not Available
14481,Available
14482,Not Available
14483,Available
14484,Not Available
14485,Not Available
14486,Available
14487,Not Available
14488,Available
14489,Not Available
14490,Available
14491,Available
14492,Not Available
14493,Available
14494,Not Available
14495,Not Available
14496,Available
14497,Available
14498,Not Available
14499,Available
14500,Not Available
14501,Not Available
14502,Available
14503,Not Available
14504,Available
14505,Available
14506,Not Available
14507,Not Available
14508,Not Available
14509,Not Available
14510,Available
14511,Not Available
14512,Not Available
14513,Not Available
14514,Not Available
14515,Not Available
14516,Available
14517,Not Available
14518,Not Available
14519,Not Available
14520,Not Available
14521,Available
14522,Not Available
14523,Not Available
14524,Not Available
14525,Available
14526,Not Available
14527,Not Available
14528,Not Available
14529,Not Available
14530,Not Available
14531,Available
14532,Not Available
14533,Not Available
14534,Available
14535,Not Available
14536,Not Available
14537,Available
14538,Available
14539,Not Available
14540,Not Available
14541,Not Available
14542,Not Available
14543,Available
14544,Not Available
14545,Not Available
14546,Not Available
14547,Not Available
14548,Not Available
14549,Available
14550,Not Available
14551,Not Available
14552,Available
14553,052900311
14554,Not Available
14555,Not Available
14556,Not Available
14557,Not Available
14558,Available
14559,Not Available
14560,Not Available
14561,Available
14562,Not Available
14563,Available
14564,Not Available
14565,Available
14566,Not Available
14567,Available
14568,Not Available
14569,Not Available
14570,Available
14571,Not Available
14572,Not Available
14573,Not Available
14574,Not Available
14575,Not Available
14576,Not Available
14577,Not Available
14578,Not Available
14579,Not Available
14580,Not Available
14581,Not Available
14582,Not Available
14583,Not Available
14584,Not Available
14585,Not Available
14586,Available
14587,Not Available
14588,Available
14589,Not Available
14590,Available
14591,Not Available
14592,Not Available
14593,Available
14594,Available
14595,Not Available
14596,Not Available
14597,Not Available
14598,Not Available
14599,Not Available
14600,Available
14601,Not Available
14602,Not Available
14603,Available
14604,Available
14605,Not Available
14606,Not Available
14607,Available
14608,Not Available
14609,Available
14610,Available
14611,Not Available
14612,Nil
14613,Available
14614,Not Available
14615,052830042
14616,Available
14617,Not Available
14618,Not Available
14619,Not Available
14620,Not Available
14621,Not Available
14622,Not Available
14623,Available
14624,Not Available
14625,Available
14626,Available
14627,Not Available
14628,Not Available
14629,Available
14630,Not Available
14631,Available
14632,Not Available
14633,Not Available
14634,Not Available
14635,Not Available
14636,Not Available
14637,Not Available
14638,Available
14639,Not Available
14640,Not Available
14641,Not Available
14642,Available
14643,Not Available
14644,Available
14645,Available
14646,Not Available
14647,Available
14648,Not Available
14649,Not Available
14650,Not Available
14651,Available
14652,Not Available
14653,Available
14654,Not Available
14655,Not Available
14656,Available
14657,Not Available
14658,Not Available
14659,Available
14660,Available
14661,Not Available
14662,Available
14663,Not Available
14664,Not Available
14665,Not Available
14666,Available
14667,Available
14668,Not Available
14669,Not Available
14670,Available
14671,Not Available
14672,Not Available
14673,Available
14674,Not Available
14675,Not Available
14676,Not Available
14677,Not Available
14678,Available
14679,Available
14680,Available
14681,Available
14682,Available
14683,Not Available
14684,Available
14685,Not Available
14686,Available
14687,Not Available
14688,Available
14689,Available
14690,Available
14691,Available
14692,Available
14693,Available
14694,Not Available
14695,Not Available
14696,Available
14697,Available
14698,Not Available
14699,Not Available
14700,Not Available
14701,Available
14702,Available
14703,Available
14704,Not Available
14705,Not Available
14706,Not Available
14707,Not Available
14708,Not Available
14709,Available
14710,Not Available
14711,Not Available
14712,Not Available
14713,Not Available
14714,Not Available
14715,Not Available
14716,Not Available
14717,Not Available
14718,Available
14719,Not Available
14720,Not Available
14721,Not Available
14722,Not Available
14723,Available
14724,Not Available
14725,Available
14726,Available
14727,Not Available
14728,Not Available
14729,Available
14730,Available
14731,Available
14732,Available
14733,Available
14734,Available
14735,Available
14736,Available
14737,Available
14738,Available
14739,Available
14740,Not Available
14741,Available
14742,Available
14743,Not Available
14744,Not Available
14745,Not Available
14746,Not Available
14747,Not Available
14748,Available
14749,Not Available
14750,Not Available
14751,Not Available
14752,Not Available
14753,Available
14754,Available
14755,Available
14756,Available
14757,Available
14758,Not Available
14759,Available
14760,Not Available
14761,Not Available
14762,Not Available
14763,Not Available
14764,Not Available
14765,Not Available
14766,Not Available
14767,Available
14768,Available
14769,Available
14770,Available
14771,Not Available
14772,Not Available
14773,Not Available
14774,Not Available
14775,Available
14776,Available
14777,Available
14778,Available
14779,Not Available
14780,Available
14781,Not Available
14782,Available
14783,Available
14784,Not Available
14785,Not Available
14786,Available
14787,Not Available
14788,Not Available
14789,Available
14790,Not Available
14791,Not Available
14792,Not Available
14793,Not Available
14794,Not Available
14795,Not Available
14796,Available
14797,Available
14798,Available
14799,Not Available
14800,Not Available
14801,Available
14802,Not Available
14803,Not Available
14804,Not Available
14805,Not Available
14806,Available
14807,Not Available
14808,Not Available
14809,Not Available
14810,Not Available
14811,Not Available
14812,Available
14813,Available
14814,Not Available
14815,Available
14816,Not Available
14817,Available
14818,Available
14819,Available
14820,Available
14821,Available
14822,Not Available
14823,Not Available
14824,Not Available
14825,Available
14826,Not Available
14827,Available
14828,Available
14829,Available
14830,Available
14831,Available
14832,Available
14833,Available
14834,Available
14835,Not Available
14836,Available
14837,Not Available
14838,Available
14839,Available
14840,Not Available
14841,Available
14842,Available
14843,Not Available
14844,Available
14845,Available
14846,Available
14847,Available
14848,Available
14849,Available
14850,Not Available
14851,Not Available
14852,Not Available
14853,Available
14854,Not Available
14855,Not Available
14856,Not Available
14857,Available
14858,Not Available
14859,Available
14860,Available
14861,Available
14862,Available
14863,Available
14864,Not Available
14865,Available
14866,Available
14867,Available
14868,Not Available
14869,Not Available
14870,Available
14871,Not Available
14872,Not Available
14873,Available
14874,Not Available
14875,Not Available
14876,Not Available
14877,Not Available
14878,Not Available
14879,Available
14880,Not Available
14881,Not Available
14882,Not Available
14883,Available
14884,Not Available
14885,Not Available
14886,Not Available
14887,Not Available
14888,Not Available
14889,Not Available
14890,Not Available
14891,Not Available
14892,Not Available
14893,Not Available
14894,Not Available
14895,Not Available
14896,Available
14897,Available
14898,Available
14899,Available
14900,Available
14901,Not Available
14902,Not Available
14903,Not Available
14904,Available
14905,Not Available
14906,Not Available
14907,Available
14908,Available
14909,Available
14910,Available
14911,Not Available
14912,Available
14913,Available
14914,Available
14915,Available
14916,Available
14917,Not Available
14918,Available
14919,Not Available
14920,Not Available
14921,Not Available
14922,Available
14923,Not Available
14924,Available
14925,Available
14926,Not Available
14927,Not Available
14928,Available
14929,Not Available
14930,Available
14931,Available
14932,Not Available
14933,Not Available
14934,Not Available
14935,Not Available
14936,Available
14937,Available
14938,Not Available
14939,Available
14940,Available
14941,Available
14942,Available
14943,Available
14944,Available
14945,Available
14946,Available
14947,Available
14948,Available
14949,Available
14950,Available
14951,Not Available
14952,Not Available
14953,Not Available
14954,Not Available
14955,Available
14956,Available
14957,Available
14958,Available
14959,Available
14960,Not Available
14961,Not Available
14962,Available
14963,Available
14964,Available
14965,Available
14966,Not Available
14967,Not Available
14968,Available
14969,Not Available
14970,Not Available
14971,Not Available
14972,Available
14973,Not Available
14974,Not Available
14975,Available
14976,Not Available
14977,Not Available
14978,Not Available
14979,Not Available
14980,Available
14981,Not Available
14982,Available
14983,Available
14984,Available
14985,Not Available
14986,Available
14987,Available
14988,Not Available
14989,Not Available
14990,Not Available
14991,Not Available
14992,Not Available
14993,Not Available
14994,052870121
14995,Not Available
14996,Not Available
14997,Not Available
14998,Not Available
14999,Not Available
15000,Not Available
15001,Available
15002,Not Available
15003,052850409
15004,Not Available
15005,Available
15006,Not Available
15007,Available
15008,Available
15009,Not Available
15010,Not Available
15011,Available
15012,Available
15013,Available
15014,Not Available
15015,Not Available
15016,Available
15017,Available
15018,Available
15019,Available
15020,Available
15021,Not Available
15022,Available
15023,Not Available
15024,Not Available
15025,Available
15026,Available
15027,Not Available
15028,Not Available
15029,Not Available
15030,Not Available
15031,Available
15032,Not Available
15033,Available
15034,Not Available
15035,Available
15036,Available
15037,Not Available
15038,Not Available
15039,Not Available
15040,Not Available
15041,Not Available
15042,Available
15043,Not Available
15044,Not Available
15045,Not Available
15046,Available
15047,Available
15048,Not Available
15049,Not Available
15050,Available
15051,Available
15052,Not Available
15053,Available
15054,Available
15055,Not Available
15056,Available
15057,Not Available
15058,Not Available
15059,Not Available
15060,Not Available
15061,Available
15062,Available
15063,Not Available
15064,Not Available
15065,Not Available
15066,Not Available
15067,Not Available
15068,Available
15069,Available
15070,Not Available
15071,Not Available
15072,Not Available
15073,Not Available
15074,Not Available
15075,Not Available
15076,Available
15077,Not Available
15078,Available
15079,Available
15080,Available
15081,Available
15082,Available
15083,Not Available
15084,Not Available
15085,Available
15086,Available
15087,Not Available
15088,Available
15089,Available
15090,05229600009
15091,Available
15092,Not Available
15093,Not Available
15094,Not Available
15095,Not Available
15096,Available
15097,Available
15098,Available
15099,Not Available
15100,Available
15101,Available
15102,Not Available
15103,Not Available
15104,Available
15105,Not Available
15106,Not Available
15107,Not Available
15108,Available
15109,Not Available
15110,Not Available
15111,Not Available
15112,Available
15113,Not Available
15114,No
15115,094570198
15116,NA
15117,Not Available
15118,Not Available
15119,Not Available
15120,Not Available
15121,Not Available
15122,Not Available
15123,Not Available
15124,No
15125,23160315
15126,094570212
15127,not applicable
15128,NIL
15129,094570230
15130,094590203
15131,094421309
15132,"094630176/MAY21,2004"
15133,no
15134,NIL
15135,094421159/2004
15136,Nil
15137,094570077
15138,094420949
15139,094570230
15140,-
15141,094570079
15142,094610038
15143,NA
15144,136250044
15145,Nil
15146,094420364
15147,No
15148,094630014
15149,II/21022169(0096)/2008-FC
15150,Applied for FCRA registra
15151,94421179
15152,094580032 DATED 14 02 200
15153,094420753
15154,No
15155,094640063
15156,nil
15157,094460055
15158,Nil
15159,-
15160,098421076
15161,no
15162,094421290
15163,NO
15164,094420509
15165,094421087
15166,094421352
15167,094421298
15168,094421298
15169,094421298
15170,No
15171,Applicable
15172,094420972
15173,094520043
15174,no
15175,094421114
15176,APPLYED
15177,094420327
15178,DWR-S106-2006-2007
15179,APPLIED
15180,231660311
15181,094420582
15182,094520001
15183,NO
15184,Not Aplied
15185,No
15186,No
15187,094480031
15188,094610028
15189,094610029
15190,0
15191,APPLIED TO HOME MINISTRY
15192,NA
15193,094400007
15194,094360015
15195,094420564
15196,pancard(AAAAJ4061H)
15197,Yes Registered under FCRA
15198,094440131
15199,NO
15200,None
15201,no
15202,094520060
15203,094540065
15204,NIL
15205,NONE
15206,094400013
15207,094600054
15208,APPLIED
15209,094440118
15210,094490028
15211,NO
15212,no
15213,094420523
15214,094520057
15215,094570215
15216,No. 094440089 Date:17-03-
15217,094460036
15218,-
15219,094570110
15220,APPLIED
15221,09400018
15222,094640026
15223,N/A
15224,094470017
15225,NOT APPLICABLE
15226,NO
15227,NO
15228,094590090
15229,0945900960
15230,none
15231,APPLIED
15232,nil
15233,094600060
15234,094420778ww
15235,094420673
15236,094420773
15237,NO
15238,094421227
15239,094421227
15240,no
15241,094630178
15242,094400023
15243,094460044
15244,applied
15245,094640007
15246,094420709
15247,94420253
15248,094420290
15249,NO
15250,094420990
15251,094570221
15252,88
15253,to be applied
15254,No
15255,099867565
15256,094420627
15257,094420682
15258,094420682
15259,no
15260,NO
15261,094400017
15262,No
15263,094400017
15264,094400017
15265,NA
15266,NO
15267,094460049
15268,094470022
15269,NIL
15270,NO
15271,no
15272,094440068
15273,094420547
15274,NO
15275,FCRA yes
15276,094640055
15277,NO
15278,NIL
15279,APPLIED
15280,no
15281,094490033
15282,094421265
15283,094590187
15284,094620035
15285,0 9 4 5 7 0 0 9 1
15286,Only parent society has g
15287,094550009
15288,Nil
15289,no
15290,-
15291,094440084
15292,094610013
15293,094440007
15294,NOT APPLICABLE
15295,NIL
15296,094630144
15297,094421329
15298,NO
15299,094670002
15300,094410007
15301,N A
15302,"!2 A obtained, applied fo"
15303,094670002
15304,NO
15305,094670002
15306,094520059
15307,nil
15308,094570086/15/12/95
15309,NA
15310,Not Available
15311,Not Available
15312,Available
15313,Not Available
15314,Not Available
